algorithm,scenario,trial,duration_seconds,seed,admission_rate,good_avg_latency_us,good_p99_latency_us,good_p50_latency_us,noisy_avg_latency_us,noisy_p99_latency_us,fairness_score,total_throughput,noisy_share,good_throughput,noisy_throughput,throttled_requests,cache_utilization
No Control (Baseline),5T_SmallCache,8,0.00115203857421875,150,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.39453125
No Control (Baseline),5T_SmallCache,9,0.0013041496276855469,151,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.39453125
No Control (Baseline),5T_SmallCache,10,0.0012428760528564453,152,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3984375
No Control (Baseline),5T_SmallCache,11,0.0012640953063964844,153,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.390625
No Control (Baseline),5T_SmallCache,12,0.0013709068298339844,154,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.39453125
No Control (Baseline),5T_SmallCache,13,0.0013687610626220703,155,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.39453125
No Control (Baseline),5T_SmallCache,14,0.0012819766998291016,156,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.390625
No Control (Baseline),5T_SmallCache,15,0.001310110092163086,157,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.390625
No Control (Baseline),5T_SmallCache,16,0.001348257064819336,158,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.39453125
No Control (Baseline),5T_SmallCache,17,0.0012652873992919922,159,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.39453125
No Control (Baseline),5T_SmallCache,18,0.001264810562133789,160,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.390625
No Control (Baseline),5T_SmallCache,19,0.0013659000396728516,161,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3984375
No Control (Baseline),5T_SmallCache,20,0.0011968612670898438,162,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.390625
No Control (Baseline),5T_SmallCache,21,0.0012640953063964844,163,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.39453125
No Control (Baseline),5T_SmallCache,22,0.0012826919555664062,164,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.39453125
No Control (Baseline),5T_SmallCache,23,0.001360177993774414,165,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.39453125
No Control (Baseline),5T_SmallCache,24,0.0012252330780029297,166,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.390625
No Control (Baseline),5T_SmallCache,25,0.0016050338745117188,167,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3984375
No Control (Baseline),5T_SmallCache,26,0.0012879371643066406,168,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.39453125
No Control (Baseline),5T_SmallCache,27,0.0012729167938232422,169,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.39453125
No Control (Baseline),5T_SmallCache,28,0.0012249946594238281,170,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.39453125
No Control (Baseline),5T_SmallCache,29,0.0012869834899902344,171,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.390625
No Control (Baseline),5T_SmallCache,30,0.0012350082397460938,172,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3984375
No Control (Baseline),5T_SmallCache,31,0.0012958049774169922,173,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.39453125
No Control (Baseline),5T_SmallCache,32,0.0012652873992919922,174,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.40234375
No Control (Baseline),5T_SmallCache,33,0.0012969970703125,175,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3984375
No Control (Baseline),5T_SmallCache,34,0.001238107681274414,176,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3984375
No Control (Baseline),5T_SmallCache,35,0.0014958381652832031,177,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.40234375
No Control (Baseline),5T_SmallCache,36,0.0013439655303955078,178,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.390625
No Control (Baseline),5T_SmallCache,37,0.0013120174407958984,179,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.39453125
No Control (Baseline),5T_SmallCache,38,0.0013279914855957031,180,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.39453125
No Control (Baseline),5T_SmallCache,39,0.0013811588287353516,181,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3984375
No Control (Baseline),5T_SmallCache,40,0.0013470649719238281,182,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.39453125
No Control (Baseline),5T_SmallCache,41,0.001455068588256836,183,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.39453125
